#SKILL
Name         reserved~
Type         Spell
Flags        0
Minpos       8
Dammsg       ~
Wearoff      ???~
Minlevel     61
End

#SKILL
Name         unknown~
Type         unknown
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     61
End

#SKILL
Name         acid blast~
Type         Spell
Flags        262144
DamType      5
ActType      1
PowerType    1
ClassType    6
Target       1
Minpos       7
Slot         67
Mana         15
Rounds       16
Code         spell_acid_blast
Dammsg       acid blast~
Hitchar      $c0010$N screams in pain as your acid blast burns $M.~
Hitvict      $c0010$n blasts you with acid... OUCH!~
Hitroom      $c0010$n blasts $N with acid, you cringe.~
Misschar     $c0010$N dodges your blast of acid.~
Missvict     $c0010$n tries to blast you with acid, but you wisely avoid that fate.~
Missroom     $c0010$N moves out of the way of $n's acid blast.~
Diechar      $c0010$N is dissolved into a sticky ooze.~
Dievict      $c0010You are hit by a blast of acid from $n, goodbye cruel world~
Dieroom      $c0010$n turns $N into a sticky puddle.~
CorpseStr    dissolving puddle of %s is~
CorpseStg    0
Dice         l*d6~
Minlevel     6
End

#SKILL
Name         acid rain~
Type         Spell
Flags        32768
DamType      5
ActType      1
PowerType    1
ClassType    6
Minpos       7
Slot         306
Mana         150
Rounds       24
Code         spell_acid_rain
Dammsg       acid rain~
Hitchar      You lift your arms to the sky, calling forth a burning rain!~
Hitvict      A brutal acidic rain falls from the sky, singeing your skin.~
Hitroom      $n lifts $s arms to the sky, uttering arcane phrases.~
Immroom      It starts to rain, the rain burns slightly but seems to cause you no harm.~
CorpseStr    dissolving puddle of %s is~
CorpseStg    0
Minlevel     56
End

#SKILL
Name         aid~
Type         Spell
Flags        67108864
Target       2
Minpos       7
Slot         118
Mana         5
Rounds       24
Code         spell_smaug
Dammsg       aid~
Wearoff      You don't feel so assisted anymore.~
Wearoffroom  $n seems less aided.~
Hitchar      $N looks aided.~
Hitvict      You feel better!~
Hitroom      $N is more aided now!~
Affect       '10*20' 18 '1' 0
Affect       '' 13 '3' 0
Minlevel     3
End

#SKILL
Name         alchemist acid blast~
Type         Spell
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     61
End

#SKILL
Name         animal friendship~
Type         Spell
Flags        67108864
Target       2
Minpos       8
Slot         143
Mana         2
Rounds       12
