#SOCIAL
Name        accuse~
CharNoArg   Accuse who??~
OthersNoArg $n wants desperately to accuse someone.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
NotFound    Accuse somebody who's not even here ??~
End

#SOCIAL
Name        ack~
CharNoArg   You go 'ACK', and cough up something fuzzy.~
OthersNoArg You hear a loud 'ACK' and $n coughs up a hairball!~
CharFound   You gack a hairball onto $N.~
OthersFound $n gacks a hairball on $N.~
VictFound   $n gacks a hairball on you!~
CharAuto    Eh?~
OthersAuto  Eh?~
NotFound    You can't gack a hairball onto nobody!~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You tell $M that you are addicted to $S love.~
OthersFound $n tells $N that $e is addicted to $S love.~
VictFound   $n tells you that $e is addicted to your love.~
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        adore~
CharNoArg   Oh, everybody is just so _wonderful_!~
OthersNoArg $n looks adoringly at everyone.~
CharFound   You gaze up at $M in complete adoration.~
OthersFound $n gazes up at $N in complete adoration.~
VictFound   $n gazes up at you in complete adoration.~
CharAuto    You just adore yourself.~
OthersAuto  $n happily adores $mself.~
NotFound    Alas, the object of your adoration is not here.~
End

#SOCIAL
Name        agree~
CharNoArg   You agree wholeheartedly.~
OthersNoArg $n agrees wholeheartedly.~
CharFound   You agree wholeheartedly with $M.~
OthersFound $n agrees wholeheartedly with $N.~
VictFound   $n agrees wholeheartedly with you.~
CharAuto    You agree with yourself ... at least SOMEONE does !!!~
OthersAuto  $n agrees with $mself ... good thing SOMEBODY does !!!~
NotFound    Its nice to agree but that person isn't here.~
End

#SOCIAL
Name        ahem~
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
End

#SOCIAL
Name        babble~
CharNoArg   You begin to babble like an idiot.~
OthersNoArg $n begins to babble like an idiot.~
CharFound   You begin to babble at $N and $E can't understand a word you are saying.~
OthersFound $n tries to say something to $N but just babbles like an idiot.~
VictFound   $n tries to talk to you but just babbles like an idiot.~
CharAuto    You babble at yourself.~
OthersAuto  $n begins to babble like an idiot.~
End

#SOCIAL
Name        bah~
CharNoArg   You utter "Bah" out of frustration.~
OthersNoArg $n says, "Bah" and turns away in contempt.~
CharFound   You utter incoherent words in your state of anxiety.~
OthersFound $n begins making sheeplike noises.~
VictFound   $n bahs at you.~
CharAuto    Talking to yourself again?~
OthersAuto  $n is obviously frustrated at something or someone..~
End

#SOCIAL
Name        bark~
CharNoArg   Woof Woof!~
OthersNoArg $n barks while chasing $s tail.~
CharFound   You bark furiously at $N.~
OthersFound $n barks furiously at $N.~
VictFound   $n barks at you with a look of bloodlust in $s eye.~
CharAuto    You scare yourself.~
OthersAuto  $n barks and scares $mself~
NotFound    You can't bark at something that's not here.~
End

#SOCIAL
Name        bashful~
CharNoArg   For some reason, you start feeling very bashful.~
OthersNoArg $n begins looking quite bashful.~
CharFound   You look up at $N, look at the ground and bashfully trace figure eights with your foot.~
OthersFound $n looks at $N, then bashfully stares at $s feet.~
VictFound   $n looks up at you, then bashfully traces figure eights with $s foot.~
CharAuto    For some reason, you start feeling very bashful.~
OthersAuto  $n begins looking quite bashful.~
End

#SOCIAL
Name        bcheck~
CharNoArg   You look around for someone to slam into...~
OthersNoArg $n has a strange, wildly violent glint in $s eyes as $e scans the room.~
CharFound   You slam into $M hard with your body check.~
OthersFound $n body checks $N hard!~
VictFound   $n slams into you with a brutal body check!~
CharAuto    How are you supposed to body check yourself?~
OthersAuto  $n attempts to body check $mself, what a wierdo!~
NotFound    Damn!  They got away!~
End

#SOCIAL
Name        bearhug~
CharNoArg   You hug a grizzly bear.~
OthersNoArg $n hugs a flea-infested grizzly bear.~
CharFound   You bearhug $M.~
OthersFound $n bearhugs $N.  Some ribs break.~
VictFound   $n bearhugs you.  Wonder what's coming next?~
CharAuto    You bearhug yourself.~
OthersAuto  $n bearhugs $mself.~
End

#SOCIAL
Name        beckon~
Position    7
CharNoArg   You beckon all to follow you.~
OthersNoArg $n beckons all to follow them.~
CharFound   You beckon $N to follow you.~
OthersFound $n beckons you to follow $m.~
VictFound   $n beckons $t to follow  $m.~
NotFound    They are not here to beckon.~
End

#SOCIAL
Name        beg~
CharNoArg   You beg the gods for mercy. ( No way you're gonna get it ! :->)~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You desperately try to squeeze a few coins from $M.~
OthersFound $n begs $N for a dime or two - or twenty !~
VictFound   $n begs you for money. You gratiously let $m peep at your fortune.~
CharAuto    How ? - begging yourself for money doesn't help.~
NotFound    Your money-lender seems to be out for the moment.~
End

#SOCIAL
Name        bexcellent~
Position    0
CharNoArg   You immitate the bumble-bee man and say 'Excellente!'~
OthersNoArg $n dons a Bumble Bee costume and says 'Excellente!'~
End

#SOCIAL
Name        bhug~
CharNoArg   You look around for someone to squeeze the life out of.~
OthersNoArg $n opens $s arms and looks around for someone to hug.~
CharFound   You smother $M with a great big bear hug.~
OthersFound $N is turning blue from the hug that $n is giving $M.~
VictFound   $n squeezes the life out of you with a great big bear hug.~
CharAuto    You give yourself a great big hug.~
OthersAuto  $n gives $mself a great big hug.~
NotFound    Alas, they are not here to hug.~
End

#SOCIAL
Name        bite~
CharNoArg   Bite who?~
CharFound   You bare your fangs and bite $M on the neck.~
OthersFound $n bares $s fangs and bites $N on the neck.~
VictFound   $n bares $s fangs and bites you on the neck.~
